News	Sentiment
Fitch Ratings has affirmed Bank of India's (BOI) Long-Term Issuer Default Rating (IDR) at 'BBB-' with a Stable Outlook and its Viability Rating at 'b+'.	Neutral
"India Ratings and Research (Ind-Ra) has published the November 2020 edition of its credit market tracker. The report comments on the systemic and market liquidity with insights on interest rates transmission, short-term yields and aggregate mutual fund sectoral debt exposure. The tracker highlights the monthly changes in liquidity of the banking system, a brief snapshot of quarterly results and trends in debt and money markets."	Neutral
Fitch Ratings upgraded private lender IDBI Bank’s Viability Rating (VR) by one-notch from “ccc” to “ccc+”. The upgrade in VR is due mainly to the improved core capitalisation and the high loan-loss coverage.	Positive
"Fitch Ratings today affirmed ratings on four public sector banks–-State Bank of India, Bank of Baroda, Punjab National Bank and Bank of India. The rating agency has maintained negative outlook on ratings. It mirrors the Outlook on India's sovereign rating of 'BBB-', which was revised to Negative from Stable on June 18, 2020. The revision factored in the impact of the escalating coronavirus pandemic on India's economy."	Negative
"Fitch Ratings today affirmed ratings on four public sector banks–-State Bank of India, Bank of Baroda, Punjab National Bank and Bank of India. The rating agency has maintained negative outlook on ratings. It mirrors the Outlook on India's sovereign rating of 'BBB-', which was revised to Negative from Stable on June 18, 2020. The revision factored in the impact of the escalating coronavirus pandemic on India's economy."	Negative
"Fitch Ratings today affirmed ratings on four public sector banks–-State Bank of India, Bank of Baroda, Punjab National Bank and Bank of India. The rating agency has maintained negative outlook on ratings. It mirrors the Outlook on India's sovereign rating of 'BBB-', which was revised to Negative from Stable on June 18, 2020. The revision factored in the impact of the escalating coronavirus pandemic on India's economy."	Negative
"Fitch Ratings today affirmed ratings on four public sector banks–-State Bank of India, Bank of Baroda, Punjab National Bank and Bank of India. The rating agency has maintained negative outlook on ratings. It mirrors the Outlook on India's sovereign rating of 'BBB-', which was revised to Negative from Stable on June 18, 2020. The revision factored in the impact of the escalating coronavirus pandemic on India's economy."	Negative
"It is imperative for banks to expand their balance sheets and revive credit offtake instead of just concentrating on asset quality, says a Idian Ratings report."	Neutral
"S&P downgrades ratings of Axis Bank, puts Indian Bank on Credit Watch"	Negative
"Indian Banking Let Down By ‘Maximum Government, Minimum Governance’, Viral Acharya said."	Negative
"Global rating agencies are upbeat on the proposed merger of cash-starved Lakshmi Vilas Bank with the Indian arm of Singapore’s DBS Bank, saying it demonstrates the Reserve Bank of India’s (RBI’s) willingness to give control of banking assets to foreign entities."	Positive
India Ratings & Research has lowered its outlook on India’s banking sector to negative from stable for the last six months of the ongoing fiscal.	Negative
"Reserve Bank of India (RBI), has become the first central bank in the world to have 1 million followers on microblogging site Twitter."	Neutral
The Reserve Bank of India's proposal to allow business houses to set up banks has been criticised by former governor Dr Raghuram Rajan and former deputy governor Viral Acharya. The recommendation was a part of a report by an internal working of the RBI on extent ownership and corporate structure in private banks in India.	Negative
"The Commerce and Industry Ministry’s data released last week, showed inflation as measured by wholesale prices rose an annual 1.5 percent in October, higher than 1.3 percent in September. This spurted the core inflation to an 18-month high. The core inflation shot up to 1.7 percent last month, up from one percent in September. A surging money supply with a select band of the public, followed by the successive cuts in the repo rate, at which the Reserve Bank lends to banks, is mainly responsible for the galloping inflation. The RBI seems to have failed in inflation control, one of its primary functions. "	Negative
"""A request has been made to the RBI to extend the recast window by another three months, bank books are very opaque currently since several borrowers are sitting on the fence and awaiting a positive verdict from the apex court,"" a banker in the know of the IBA's representation told The Economic Times."	Neutral
"Current crisis worst of century, RBI. The economic fallout of the coronavirus disease pandemic may lead to higher non-performing assets, or bad loans, and capital erosion at Indian banks, he warned, terming the Covid-19 outbreak the worst economic and health crisis in a century."	Negative
"The Reserve Bank of India (RBI) and the Securities and Exchange Board of India (Sebi) are investigating whether some large shareholders of Lakshmi Vilas Bank (LVB) bought shares of the troubled lender through proxy entities beyond the regulatory cap in the middle of its search for a buyer, two people aware of the development said. According to the people cited above, the probe began after RBI received complaints that some large LVB shareholders bought shares through proxy entities beyond the permissible limit from the open market to raise their holding for greater control over the lender. Under RBI norms, a single entity can only buy less than 5% in any private bank without its prior approval."	Negative
RBI governor Das said GDP growth rate may break out of contraction and turn positive during January-March due to recovery seen across sectors. The MPC has maintained an accommodative stance to revive growth on a durable basis	Positive
"Any new umbrella organization for retail payments on the lines of the National Payments Corp. of India (NPCI) must have a minimum paid-up capital of ?500 crore and strive for inter-operability with NPCI systems, the Reserve Bank of India said."	Neutral
"The Monetary Policy Committee (MPC) of the Reserve Bank of India (RBI) kept its repo rate unchanged at 4 per cent while maintaining an ‘accommodative stance’ as long as necessary at least through the current financial year, RBI Governor Shaktikanta Das announced on Friday."	Neutral
"""RBI has issued an order dated December 2, 2020, to HDFC Bank Ltd with regard to certain incidents of outages in the internet banking/ mobile banking/ payment utilities of the bank over the past two years, including the recent outages in the bank''s internet banking and payment system on November 21, 2020, due to a power failure in the primary data centre,"""	Negative
"With Q2 GDP numbers contracting to a lower degree than Q1 in the current fiscal and retail inflation uncomfortably high, the Reserve Bank of India (RBI) on Friday in its monetary policy is expected to leave interest rates unchanged. The Indian economy recovered at a brisk clip compared with what was expected in the July-September (Q2) quarter aided by manufacturing growth that helped GDP record a lower contraction of 7.5 per cent, after contracting by a record 23.9 per cent in Q1. The recovery came despite Consumer Price Index (CPI) inflation being at a six-year high of 7.61 per cent in October. Wholesale price-based inflation rose to an eight-month high of 1.48 per cent."	Positive
"Several businesses were hit badly, following the outbreak of COVID-19 and the subsequent lockdown. With the job market being shaky due to the above-mentioned reasons, the Reserve Bank of India (RBI) had on March 27 issued a circular which allowed lending institutions to grant a moratorium on payment of instalments of term loans falling due between March 1, 2020, and May 31, 2020, due to the pandemic. Later, the moratorium was extended till August 31 this year."	Negative
"RBI faces a triple challenge of high inflation, elevated government borrowing and large capital inflows. In the economist parlance, RBI’s policy choices have narrowed, as the ‘impossible trinity’ has become more binding. The latter, as per economic theory, suggests that RBI can simultaneously pursue any two of the three—keep the rupee from appreciating, allow large capital inflows, or keep monetary conditions loose"	Negative
Reserve Bank of India cuts interest rates to the lowest in over 2 decades? as the central bank expects the GDP to contract this financial year	Negative
The Reserve Bank of India extended its dollar purchase spree in September as it likely aimed to build up foreign exchange reserves amid a global virus-induced economic downturn.	Neutral
"India’s economy probably shrank for a second straight quarter, according to a team of economists including Michael Patra, the central bank’s deputy governor in charge of monetary policy, pushing the country into an unprecedented recession. Gross domestic product contracted 8.6% in the quarter ended September, the Reserve Bank of India showed in its first ever published ‘nowcast,’ which is an estimate based on high-frequency data. The economy had slumped about 24% in April to June."	Negative
"Reserve Bank of India (RBI) Governor Shaktikanta Das on Thursday said the Indian economy has exhibited stronger than expected rebound, but suggested that one needs to be watchful of demand sustainability after the festive season."	Neutral
"India’s government securities markets is one of the most sophisticated in Asia, and is the largest after China and Malaysia, according to a Reserve Bank of India (RBI) study, but the secondary market volume needs to improve."	Neutral
"The Reserve Bank of India’s Internal Working Group has made recommendations that have the potential to change the landscape of India’s banking industry. The report suggests changes on ownership and corporate structure of private sector banks. The other recommendation, aiming to get the same result talks about allowing NBFCs to convert to banks. Apart from these, conversion to banks will also rope in expenses like technology, branch expansion will also hit those NBFCs. “We believe final recommendations are favourable for corporate houses promoted by large NBFCs namely Bajaj Finance, L&T Finance, Mahindra Finance, Aditya Birla Capital, etc who may now look forward to converting to a universal bank,” said ICICI Securities."	Negative
"India needs to put out a fiscal roadmap post the Covid-19 pandemic, the Reserve Bank of India (RBI) Governor Shaktikanta Das said on Wednesday, according to ET Now. He said both fiscal and monetary policy in India were accommodative, and added that the governance of banks and shadow banks are very important."	Neutral
"HDFC Bank on Friday reported 18.25 per cent year-on-year rise in net profit at Rs 3,990 crore for the quarter ended March 31, 2017. It had posted a net profit of Rs 3,374.22 crore in the corresponding quarter last year."	Positive
"HDFC Bank is expected to report a 30 percent YoY increase in profit after tax to Rs 1,414.20 crore for the first quarter of fiscal 2013, according to ET Now estimates."	Positive
"Private lender HDFC Bank on Saturday reported an 18.17 per cent year-on-year (YoY) growth in net profit at Rs 4,601.44 crore for the quarter ended June."	Positive
"ICICI Bank on Saturday posted a 36 per cent on-year rise in net profit at Rs 2,599 crore in the April-June quarter. The company had reported a net profit of Rs 1,980 crore in the corresponding quarter of the preceding year."	Positive
RBL Bank on Tuesday reported over 47 per cent decline in standalone net profit at Rs 141.22 crore in the first quarter ended June of the current fiscal year due to over two-fold jump in provisioning. 	Negative
South Indian Bank reported an 11 per cent growth in net profit for the first quarter with gross NPAs contained at 4.93 per cent.	Positive
"IndusInd Bank Ltd.’s quarterly profit took a hit as the private lender safeguarded against a possible rise in bad loans on account of the Covid-19 pandemic. Net profit fell 67.8% year-on-year to Rs 460.6 crore in the quarter ended June. IndusInd Bank has increased its provisions against bad loans to Rs 2258.9 crore to protect its balance sheet against the Covid-19 impact. In the March-ended quarter, the bank had set aside Rs 2440.32 crore in provisions."	Negative
"State Bank of India’s quarterly profit surged, owing to a fall in provisions and an exceptional gain. Net profit of India's largest lender rose 81% year-on-year to Rs 4,189 crore in the three months ended June."	Positive
"Even as the public sector lender Indian Bank reported an increase in net loss in the 4th quarter of FY20, its net profit zoomed 134 per cent for the full year. It also reported an improvement in its asset quality."	Positive
"The NPA of Bank of Baroda (BoB) rose from ? 11,876 crore at March-end 2014 to ? 73,140 crore at December-end 2019. The number of NPA accounts rose from 2,08,035 as on March 31, 2014, to 6,17,306 as of December 2019."	Negative
"The NPAs of Indian Bank surged from ? 8,068.05 crore as on March 31, 2014, to ? 32,561.26 crore as on March 31, 2020. The NPA accounts rose to 5,64,816 as on March 31, 2020, from 2,48,921 as on March 31, 2014"	Negative
"Punjab National Bank reported a surprise quarterly loss on higher-than-expected provisions. The government-owned lender reported a loss of Rs 4,750 crore in quarter ended March compared to a Rs 13,417-crore loss in the same quarter last year, according to a press release"	Negative
State-owned Indian Overseas Bank NSE 3.27 % (IOB) on Friday reported a net profit of Rs 148 crore for the second quarter of current fiscal as bad loans and provisions declined.	Positive
"Indian Bank reported total income growth on both quarterly & yearly basis. Total income for Sep 30, 2020 quarter was Rs 11796.58 cr which is an increase of 2.08% QoQ and 95.08% YoY."	Positive
"Yes Bank reported income decline on both quarterly & yearly basis. Total income for Sep 30, 2020 quarter was Rs 5972.12 cr which is a decrease of -2.46% QoQ and -28.46% YoY. "	Negative
"The Union Bank of India on Friday reported a net profit of Rs 516.6 crore for the September quarter of the current financial year against a loss of Rs 994 crore in the corresponding period last year. The bank saw healthy growth in interest income and its asset quality also improved. Its operating profit increased 2% year on year (YoY) and 8.4% quarter on quarter (QoQ) to Rs 4,375 crore. The interest income (NII) increased 6% YoY to Rs 6,293 crore, but remained flat sequentially."	Positive
"HDFC Bank Ltd.’s quarterly profit rose as asset quality remained steady and interest income rose. Net profit of India’s largest private lender rose 18% year-on-year to Rs 7,513 crore in the quarter ended September"	Positive
UCO Bank on Thursday reported Rs 30.12-crore net profit for the second quarter this fiscal. The lender had incurred a net loss of Rs 891.98 crore for the same period last fiscal as provisions for non-performing assets declined by 49% year-on-year and operating profit increased by 10% y-o-y.  The public sector lender had posted a net profit of Rs 21.46 crore for the first quarter of the current financial year.	Positive
Yes Bank Ltd.'s profit rose sequentially even as the private lender set aside higher provisions in the second quarter.The bank reported a net profit of Rs 129 crore for the quarter ended September	Positive
